alarm_id,timestamp,alarm_code,component_tag,measured_value,units,setpoint,operator,delay_s,hysteresis,panel_label,active_flag,acknowledged_state,cleared_state,operating_state,source_reference,record_status,source_note
ALM-001,2026-06-23 12:00,MOTOR_CURRENT_HIGH,MTR-512B,174.8,A,175.0,>,5.0,2.0,HIGH,FALSE,ACKNOWLEDGED,CLEARED,STEADY_100_PERCENT,SLOG-018,CURRENT,Does not exceed setpoint
ALM-002,2026-06-23 12:03,MOTOR_CURRENT_HIGH,MTR-512B,176.2,A,175.0,>,5.0,2.0,HIGH,FALSE,ACKNOWLEDGED,CLEARED,STEADY_100_PERCENT,SLOG-020,CURRENT,"Exceedance persisted 2 s, below the 5 s delay"
ALM-003,2026-06-23 10:15,GBX_OUTPUT_VIB_HIGH,GBX-OUT-512B,5.9,mm/s,5.6,>,0.0,0.2,NORMAL,TRUE,ACKNOWLEDGED,NOT_CLEARED,STEADY_100_PERCENT,VR-008,CURRENT,Valid exceedance despite NORMAL label
ALM-004,2026-06-24 09:00,OIL_WATER_HIGH,GBX-512B,540,ppm,450,>,0.0,20,HIGH,TRUE,ACKNOWLEDGED,NOT_CLEARED,OFFLINE_SAMPLE,OIL-2721,CURRENT,Primary current sample
ALM-005,2026-06-24 09:00,OIL_IRON_HIGH,GBX-512B,58,ppm,45,>,0.0,5,NORMAL,TRUE,ACKNOWLEDGED,NOT_CLEARED,OFFLINE_SAMPLE,OIL-2721,CURRENT,Valid exceedance despite NORMAL label
ALM-006,2026-06-24 09:00,OIL_VISCOSITY_HIGH,GBX-512B,318.6,cSt,352,>,0.0,5,HIGH,FALSE,ACKNOWLEDGED,CLEARED,OFFLINE_SAMPLE,OIL-2721,CURRENT,Below upper limit
ALM-007,2026-06-22 16:30,ALIGN_VERTICAL_OFFSET_HIGH,MTR-512B,0.0512,mm,0.05,>,0.0,0.005,PASS,TRUE,ACKNOWLEDGED,NOT_CLEARED,ALIGNMENT_TEST,ALN-FIN-02,CURRENT,Unrounded final result exceeds limit
ALM-008,2026-06-22 16:30,ALIGN_HORIZONTAL_OFFSET_HIGH,MTR-512B,0.06,mm,0.06,>,0.0,0.005,HIGH,FALSE,ACKNOWLEDGED,CLEARED,ALIGNMENT_TEST,ALN-FIN-01,CURRENT,Equality does not satisfy strict >
ALM-009,2026-06-22 16:40,SOFT_FOOT_HIGH,MTR-512B,0.05,mm,0.05,>,0.0,0.005,HIGH,FALSE,ACKNOWLEDGED,CLEARED,ALIGNMENT_TEST,SF-02,CURRENT,Equality does not satisfy strict >
ALM-010,2026-06-22 16:41,SOFT_FOOT_HIGH,MTR-512B,0.056,mm,0.05,>,0.0,0.005,NORMAL,TRUE,ACKNOWLEDGED,NOT_CLEARED,ALIGNMENT_TEST,SF-04,CURRENT,Valid Foot D exceedance
ALM-011,2026-06-23 12:20,SHAFT_TORQUE_HIGH,AG-SH-512B,21450,N*m,21000,>,0.0,100,HIGH,TRUE,ACKNOWLEDGED,NOT_CLEARED,STEADY_100_PERCENT,SLOG-028,CURRENT,Raw torque is outside accepted calibration range
ALM-012,2026-06-23 12:22,GEAR_RATIO_DEVIATION_HIGH,GBX-512B,1.1,%,1.0,>,0.0,0.1,HIGH,TRUE,ACKNOWLEDGED,NOT_CLEARED,STEADY_100_PERCENT,PANEL-RATIO-01,CURRENT,No current local ratio tolerance is established
ALM-013,2026-06-23 14:18,GBX_OUTPUT_TEMP_RISE_HIGH,BRG-GBO-512B,30.0,C,30.0,>,0.0,1.0,NORMAL,TRUE,ACKNOWLEDGED,NOT_CLEARED,STEADY_100_PERCENT,TEMP-018,CURRENT,Displayed 30.0 C; unrounded rise is 30.04 C
ALM-014,2026-06-24 08:10,SEAL_PNEUMATIC_RESIDUAL_HIGH,SEAL-512B,0.06,MPa,0.05,>,0.0,0.01,HIGH,TRUE,ACKNOWLEDGED,NOT_CLEARED,LOTO-RES-02,CURRENT,Valid residual-pressure exceedance,
ALM-015,2026-06-24 08:11,VESSEL_PRESSURE_HIGH,VSL-512,0.0,MPa,0.0,>,0.0,0.01,HIGH,FALSE,ACKNOWLEDGED,CLEARED,LOTO_VERIFICATION,LOTO-RES-03,CURRENT,Equality does not satisfy strict >
ALM-016,2026-06-24 08:12,SHAFT_ROTATION_DETECTED,AG-SH-512B,0.0,rpm,0.0,>,0.0,0.1,ROTATING,FALSE,ACKNOWLEDGED,CLEARED,LOTO_VERIFICATION,LOTO-RES-04,CURRENT,No measured rotation
ALM-017,2026-06-22 17:00,AXIAL_RUNOUT_HIGH,AG-SH-512B,0.041,mm,0.04,>,0.0,0.005,HIGH,TRUE,ACKNOWLEDGED,NOT_CLEARED,INSPECTION,SRE-002,CURRENT,Valid axial-runout exceedance
ALM-018,2026-06-22 15:30,COUPLING_BOLT_TORQUE_LOW,CPG-512B,788,N*m,790,<,0.0,5,LOW,TRUE,ACKNOWLEDGED,NOT_CLEARED,OFFLINE_INSPECTION,CB-03,CURRENT,Valid low-torque finding
ALM-019,2026-06-22 15:35,COUPLING_WITNESS_MARK_LOW,CPG-512B,7,marks,8,<,0.0,1,NORMAL,TRUE,ACKNOWLEDGED,NOT_CLEARED,OFFLINE_INSPECTION,WM-01,CURRENT,Seven marks are fewer than eight
ALM-020,2026-06-23 10:20,AGIT_UPPER_VIB_HIGH,AGIT-UP-512B,4.5,mm/s,4.5,>,0.0,0.2,HIGH,FALSE,ACKNOWLEDGED,CLEARED,STEADY_100_PERCENT,VR-010,CURRENT,Equality does not satisfy strict >
ALM-021,2026-06-23 10:25,AGIT_LOWER_VIB_HIGH,AGIT-LOW-512B,5.207,mm/s,4.5,>,0.0,0.2,HIGH,TRUE,ACKNOWLEDGED,NOT_CLEARED,STEADY_100_PERCENT,VR-012,CURRENT,Converted from 0.205 in/s RMS
ALM-022,2026-06-24 08:50,OIL_WATER_HIGH,GBX-512B,880,ppm,450,>,0.0,20,HIGH,TRUE,ACKNOWLEDGED,NOT_CLEARED,OFFLINE_SAMPLE,OIL-2720,STALE_REFERENCE,Referenced sample is INVALID
ALM-023,2026-06-24 08:55,LUBRICANT_GRADE_MISMATCH,GBX-512B,Mineral EP ISO VG 150,,SynLube PAG ISO VG 320,!=,0.0,,MISMATCH,TRUE,ACKNOWLEDGED,NOT_CLEARED,IDLE,AR-010,STALE_REFERENCE,References old register lubricant
ALM-024,2026-06-24 08:00,COUPLING_GUARD_OPEN,GRD-512B,1,state,0,>,0.0,0.0,OPEN,TRUE,ACKNOWLEDGED,CLEARED,MAINTENANCE,IG-01,CURRENT,"Maintenance access state, not production fault"
